,section,midpoint
1,a_mouth,0
2,a_a,6.75
3,a_b,18.5
4,a_c,31.1
5,a_d,43.95
6,a_e,53.75
7,a_f,64.05
8,a_g,75.8
9,a_h,90.45
10,a_i,104.5
11,a_j,113.3
12,a_k,120.2
13,a_l,129.1
14,a_m,139.4
15,a_n,151.1
16,a_o,163.8
17,a_p,175.1
18,a_q,182.95
19,a_r,190.75
20,a_s,203.6
21,a_t,216.75
22,a_u,229.85
23,a_v,240.5
24,a_w,248.55
25,a_x,260.75
26,a_y,272.35
27,a_z,283.2
28,a_aa,294.5
29,a_bb,304.15
30,a_cc,315.6
31,a_dd,329.1
32,a_ee,342.6
33,a_ff,354.7306452
35,c_mouth,0
36,c_w,6.4
37,c_v,18.1
38,c_u,29.15
39,c_s,41.4
40,c_t,52.75
41,c_r,65.6
42,c_q,82.3
43,c_p,97
44,c_o,107.25
45,c_n,116.25
46,c_m,124.4
47,c_l,131.9
48,c_k,141.35
49,c_j,149.25
50,c_i,154.3
51,c_h,160.6
52,c_g,168.5
53,c_f,175.35
54,c_e,181.2
55,c_d,186.85
56,c_c,192.25
57,c_b,198.7
58,c_a,206.65
59,c_aa,217.1
60,c_bb,229.1
61,c_cc,238.8
62,c_dd,247.5
63,c_ee,256.35
64,c_ff,265.5
65,c_gg,273.75
66,c_hh,280.1
67,c_ii,286.4
68,c_jj,293.8
69,c_kk,301.2
70,c_ll,308.6
71,c_mm,316.75
72,c_nn,325.95
73,c_oo,336.25
74,c_pp,344.05
75,c_qq,350.3
76,c_rr,358.4
77,c_ss,367.65
78,c_tt,375.25
79,c_uu,381.15
80,c_vv,386.8
81,c_ww,392.9
82,c_xx,401.5
83,c_yy,410.6
84,c_zz,445.8